
=== 涨幅榜前20名股票 ===

股票代码              公司名称              市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
  ASTS                   AST SpaceMobile Inc    70.52                 Telecommunication   2025-02-04 23.09   2025-02-05 24.71     7.02 
   VRT                    Vertiv Holdings Co   441.13              Electrical Equipment  2025-02-04 111.25  2025-02-05 119.04     7.00 
   SMR                    Nuscale Power Corp    68.54              Electrical Equipment   2025-02-04 22.98   2025-02-05 24.55     6.83 
   MOD               Modine Manufacturing Co    54.44                   Auto Components   2025-02-04 98.51  2025-02-05 105.14     6.73 
  FTAI                     FTAI Aviation Ltd   118.52  Trading Companies & Distributors   2025-02-04 109.6  2025-02-05 116.95     6.71 
  AMGN                             Amgen Inc  1638.18                     Biotechnology  2025-02-04 289.02  2025-02-05 307.81     6.50 
  MRVL                Marvell Technology Inc  1005.74                    Semiconductors  2025-02-04 109.69  2025-02-05 116.46     6.17 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码               公司名称              市值(亿)                 板块                    昨天收盘           今天收盘      涨跌幅(%)
   TEM                         Tempus AI Inc    110.02    Life Sciences Tools & Services   2025-02-04 61.85   2025-02-05 69.18    11.85 
   JCI    Johnson Controls International PLC    570.95                          Building   2025-02-04 77.29   2025-02-05 86.01    11.28 
  SMCI              Super Micro Computer Inc    184.95                        Technology   2025-02-04 29.16   2025-02-05 31.49     7.99 
    EA                   Electronic Arts Inc    334.45                             Media  2025-02-04 121.25  2025-02-05 130.47     7.60 
    FI                            Fiserv Inc   1299.30                Financial Services  2025-02-04 214.22  2025-02-05 229.53     7.15 
   VRT                    Vertiv Holdings Co    441.13              Electrical Equipment  2025-02-04 111.25  2025-02-05 119.04     7.00 
  FTAI                     FTAI Aviation Ltd    118.52  Trading Companies & Distributors   2025-02-04 109.6  2025-02-05 116.95     6.71 
  AMGN                             Amgen Inc   1638.18                     Biotechnology  2025-02-04 289.02  2025-02-05 307.81     6.50 
  MRVL                Marvell Technology Inc   1005.74                    Semiconductors  2025-02-04 109.69  2025-02-05 116.46     6.17 
  KNSL             Kinsale Capital Group Inc    110.51                         Insurance  2025-02-04 457.29  2025-02-05 485.01     6.06 
  AFRM                   Affirm Holdings Inc    195.50                Financial Services   2025-02-04 59.53    2025-02-05 62.8     5.49 
  ODFL         Old Dominion Freight Line Inc    415.66                       Road & Rail  2025-02-04 183.66  2025-02-05 193.65     5.44 
  IBKR         Interactive Brokers Group Inc    961.58                Financial Services  2025-02-04 221.48  2025-02-05 233.45     5.40 
  NXPI                 NXP Semiconductors NV    536.57                    Semiconductors   2025-02-04 202.4  2025-02-05 213.24     5.36 
  TOST                             Toast Inc    229.98                Financial Services   2025-02-04 39.24   2025-02-05 41.32     5.30 
  CIEN                            Ciena Corp    130.73                    Communications    2025-02-04 87.5   2025-02-05 92.08     5.23 
  NVDA                           NVIDIA Corp  30348.01                    Semiconductors  2025-02-04 118.65  2025-02-05 124.83     5.21 
  SAIA                              Saia Inc    131.91                       Road & Rail  2025-02-04 479.27  2025-02-05 503.01     4.95 
   FIX               Comfort Systems USA Inc    158.03                      Construction  2025-02-04 425.06  2025-02-05 445.29     4.76 
  ALAB                       Astera Labs Inc    167.56                    Semiconductors  2025-02-04 101.73  2025-02-05 106.57     4.76 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码               公司名称              市值(亿)           板块              昨天收盘           今天收盘      涨跌幅(%)
   JCI    Johnson Controls International PLC    570.95              Building   2025-02-04 77.29   2025-02-05 86.01    11.28 
    EA                   Electronic Arts Inc    334.45                 Media  2025-02-04 121.25  2025-02-05 130.47     7.60 
    FI                            Fiserv Inc   1299.30    Financial Services  2025-02-04 214.22  2025-02-05 229.53     7.15 
   VRT                    Vertiv Holdings Co    441.13  Electrical Equipment  2025-02-04 111.25  2025-02-05 119.04     7.00 
  AMGN                             Amgen Inc   1638.18         Biotechnology  2025-02-04 289.02  2025-02-05 307.81     6.50 
  MRVL                Marvell Technology Inc   1005.74        Semiconductors  2025-02-04 109.69  2025-02-05 116.46     6.17 
  ODFL         Old Dominion Freight Line Inc    415.66           Road & Rail  2025-02-04 183.66  2025-02-05 193.65     5.44 
  IBKR         Interactive Brokers Group Inc    961.58    Financial Services  2025-02-04 221.48  2025-02-05 233.45     5.40 
  NXPI                 NXP Semiconductors NV    536.57        Semiconductors   2025-02-04 202.4  2025-02-05 213.24     5.36 
  TOST                             Toast Inc    229.98    Financial Services   2025-02-04 39.24   2025-02-05 41.32     5.30 
  NVDA                           NVIDIA Corp  30348.01        Semiconductors  2025-02-04 118.65  2025-02-05 124.83     5.21 
   RKT                  Rocket Companies Inc    251.73    Financial Services   2025-02-04 12.17    2025-02-05 12.7     4.35 
  AVGO                          Broadcom Inc  11080.90        Semiconductors  2025-02-04 222.43   2025-02-05 232.0     4.30 
   NEM                   Newmont Corporation    516.29       Metals & Mining   2025-02-04 43.35   2025-02-05 44.96     3.71 
   PCG                             PG&E Corp    342.30             Utilities   2025-02-04 15.18   2025-02-05 15.74     3.69 
    MU                 Micron Technology Inc   1027.30        Semiconductors   2025-02-04 90.66    2025-02-05 93.6     3.24 
   GEV                        Ge Vernova Inc   1004.56  Electrical Equipment  2025-02-04 356.53  2025-02-05 367.93     3.20 
    BA                             Boeing Co   1342.11   Aerospace & Defense  2025-02-04 176.23  2025-02-05 181.84     3.18 
  HOOD                 Robinhood Markets Inc    476.60    Financial Services   2025-02-04 52.58    2025-02-05 54.2     3.08 
   KKR                          KKR & Co Inc   1352.42    Financial Services   2025-02-04 149.3  2025-02-05 153.81     3.02 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码         公司名称        市值(亿)           板块               昨天收盘            今天收盘      涨跌幅(%)
    FI                Fiserv Inc   1299.30    Financial Services   2025-02-04 214.22   2025-02-05 229.53    7.15  
  AMGN                 Amgen Inc   1638.18         Biotechnology   2025-02-04 289.02   2025-02-05 307.81    6.50  
  MRVL    Marvell Technology Inc   1005.74        Semiconductors   2025-02-04 109.69   2025-02-05 116.46    6.17  
  NVDA               NVIDIA Corp  30348.01        Semiconductors   2025-02-04 118.65   2025-02-05 124.83    5.21  
  AVGO              Broadcom Inc  11080.90        Semiconductors   2025-02-04 222.43    2025-02-05 232.0    4.30  
    MU     Micron Technology Inc   1027.30        Semiconductors    2025-02-04 90.66     2025-02-05 93.6    3.24  
   GEV            Ge Vernova Inc   1004.56  Electrical Equipment   2025-02-04 356.53   2025-02-05 367.93    3.20  
    BA                 Boeing Co   1342.11   Aerospace & Defense   2025-02-04 176.23   2025-02-05 181.84    3.18  
   KKR              KKR & Co Inc   1352.42    Financial Services    2025-02-04 149.3   2025-02-05 153.81    3.02  
  ANET       Arista Networks Inc   1448.35        Communications   2025-02-04 112.32   2025-02-05 115.49    2.82  
  LRCX         Lam Research Corp   1037.46        Semiconductors    2025-02-04 79.91    2025-02-05 81.94    2.54  
    BX            Blackstone Inc   2089.83    Financial Services   2025-02-04 170.83   2025-02-05 174.85    2.35  
   ABT       Abbott Laboratories   2282.20           Health Care    2025-02-04 129.1   2025-02-05 132.06    2.29  
  ORCL               Oracle Corp   4779.44            Technology   2025-02-04 167.89   2025-02-05 171.66    2.25  
   PFE                Pfizer Inc   1497.39       Pharmaceuticals    2025-02-04 25.87    2025-02-05 26.44    2.20  
  TMUS           T-Mobile US Inc   2745.33     Telecommunication   2025-02-04 237.25   2025-02-05 242.43    2.18  
  SHOP               Shopify Inc   1552.84            Technology    2025-02-04 119.2   2025-02-05 121.73    2.12  
  COST     Costco Wholesale Corp   4579.99                Retail  2025-02-04 1021.86  2025-02-05 1042.88    2.06  
  CSCO         Cisco Systems Inc   2481.86        Communications    2025-02-04 61.34    2025-02-05 62.57    2.01  
   LLY          Eli Lilly and Co   8010.47       Pharmaceuticals   2025-02-04 826.07   2025-02-05 842.18    1.95  
