
=== 涨幅榜前20名股票 ===

股票代码          公司名称          市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
  PROSF                              Prosus NV  1000.13                            Retail    2025-02-13 42.4   2025-02-14 45.46     7.23 
   ASTS                    AST SpaceMobile Inc    93.00                 Telecommunication   2025-02-13 30.05    2025-02-14 32.1     6.82 
    TEM                          Tempus AI Inc   140.82    Life Sciences Tools & Services   2025-02-13 83.75   2025-02-14 89.44     6.79 
   SOFI                  SoFi Technologies Inc   175.90                Financial Services   2025-02-13 15.19   2025-02-14 16.21     6.71 
   NBIS                        Nebius Group NV   104.75                             Media    2025-02-13 41.7   2025-02-14 44.49     6.69 
     AL                         Air Lease Corp    55.08  Trading Companies & Distributors   2025-02-13 46.35   2025-02-14 49.45     6.69 
   DXCM                             Dexcom Inc   347.90                       Health Care   2025-02-13 84.09   2025-02-14 89.07     5.92 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码          公司名称         市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
   PCOR   Procore Technologies Inc   130.08                        Technology    2025-02-13 75.1    2025-02-14 87.5    16.51 
   DKNG             Draftkings Inc   260.83     Hotels, Restaurants & Leisure   2025-02-13 46.45   2025-02-14 53.49    15.16 
   ABNB                 Airbnb Inc  1023.36     Hotels, Restaurants & Leisure  2025-02-13 141.04  2025-02-14 161.42    14.45 
   ROKU                   Roku Inc   143.85                             Media    2025-02-13 86.8   2025-02-14 99.07    14.14 
   SMCI   Super Micro Computer Inc   280.54                        Technology   2025-02-13 42.28   2025-02-14 47.91    13.32 
    DUO   Fangdd Network Group Ltd   224.80                             Media     2025-02-13 0.6    2025-02-14 0.67    11.76 
    AUR      Aurora Innovation Inc   175.11                        Technology    2025-02-13 9.42   2025-02-14 10.19     8.17 
    APP              Applovin Corp  1680.15                        Technology  2025-02-13 471.67  2025-02-14 510.13     8.15 
  PROSF                  Prosus NV  1000.13                            Retail    2025-02-13 42.4   2025-02-14 45.46     7.23 
    TEM              Tempus AI Inc   140.82    Life Sciences Tools & Services   2025-02-13 83.75   2025-02-14 89.44     6.79 
   SOFI      SoFi Technologies Inc   175.90                Financial Services   2025-02-13 15.19   2025-02-14 16.21     6.71 
   NBIS            Nebius Group NV   104.75                             Media    2025-02-13 41.7   2025-02-14 44.49     6.69 
   DXCM                 Dexcom Inc   347.90                       Health Care   2025-02-13 84.09   2025-02-14 89.07     5.92 
   RIVN      Rivian Automotive Inc   143.20                       Automobiles    2025-02-13 13.3   2025-02-14 14.03     5.49 
   FTAI          FTAI Aviation Ltd   116.49  Trading Companies & Distributors  2025-02-13 107.92  2025-02-14 113.59     5.25 
   CVNA                 Carvana Co   592.43                            Retail   2025-02-13 272.4  2025-02-14 285.33     4.75 
  HKHHF        Heineken Holding NV   195.89                         Beverages   2025-02-13 69.56   2025-02-14 72.85     4.73 
    IOT                Samsara Inc   330.88                        Technology   2025-02-13 56.37   2025-02-14 58.96     4.59 
  PPRUF                  Kering SA   337.36  Textiles, Apparel & Luxury Goods   2025-02-13 277.4  2025-02-14 289.62     4.41 
     VG         Venture Global Inc   386.16                            Energy   2025-02-13 15.29   2025-02-14 15.96     4.38 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码                       公司名称                      市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
   DKNG                                       Draftkings Inc   260.83     Hotels, Restaurants & Leisure   2025-02-13 46.45   2025-02-14 53.49    15.16 
   ABNB                                           Airbnb Inc  1023.36     Hotels, Restaurants & Leisure  2025-02-13 141.04  2025-02-14 161.42    14.45 
   SMCI                             Super Micro Computer Inc   280.54                        Technology   2025-02-13 42.28   2025-02-14 47.91    13.32 
    DUO                             Fangdd Network Group Ltd   224.80                             Media     2025-02-13 0.6    2025-02-14 0.67    11.76 
    APP                                        Applovin Corp  1680.15                        Technology  2025-02-13 471.67  2025-02-14 510.13     8.15 
  PROSF                                            Prosus NV  1000.13                            Retail    2025-02-13 42.4   2025-02-14 45.46     7.23 
   DXCM                                           Dexcom Inc   347.90                       Health Care   2025-02-13 84.09   2025-02-14 89.07     5.92 
   CVNA                                           Carvana Co   592.43                            Retail   2025-02-13 272.4  2025-02-14 285.33     4.75 
    IOT                                          Samsara Inc   330.88                        Technology   2025-02-13 56.37   2025-02-14 58.96     4.59 
  PPRUF                                            Kering SA   337.36  Textiles, Apparel & Luxury Goods   2025-02-13 277.4  2025-02-14 289.62     4.41 
     VG                                   Venture Global Inc   386.16                            Energy   2025-02-13 15.29   2025-02-14 15.96     4.38 
  HINKF                                          Heineken NV   449.40                         Beverages   2025-02-13 80.32   2025-02-14 83.64     4.13 
     MU                                Micron Technology Inc  1108.82                    Semiconductors   2025-02-13 95.66   2025-02-14 99.52     4.04 
   MSTR                                    Microstrategy Inc   871.95                        Technology  2025-02-13 324.92  2025-02-14 337.73     3.94 
    BAM                      BROOKFIELD ASSET MANAGEMENT LTD   979.55                Financial Services   2025-02-13 57.57   2025-02-14 59.83     3.93 
   DASH                                         DoorDash Inc   886.37     Hotels, Restaurants & Leisure  2025-02-13 205.64  2025-02-14 213.38     3.76 
   DELL                                Dell Technologies Inc   802.60                        Technology  2025-02-13 110.26  2025-02-14 114.38     3.74 
  MGDDF   Compagnie Generale des Etablissements Michelin SCA   240.38                   Auto Components   2025-02-13 34.78   2025-02-14 36.06     3.68 
  DASTF                                 Dassault Systemes SE   539.62                        Technology   2025-02-13 40.29   2025-02-14 41.67     3.43 
    UAL                         United Airlines Holdings Inc   342.89                          Airlines  2025-02-13 100.89  2025-02-14 104.26     3.34 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码                                           公司名称                                           市值(亿)                板块                    昨天收盘            今天收盘      涨跌幅(%)
   ABNB                                                                                    Airbnb Inc   1023.36   Hotels, Restaurants & Leisure   2025-02-13 141.04   2025-02-14 161.42    14.45 
    APP                                                                                 Applovin Corp   1680.15                      Technology   2025-02-13 471.67   2025-02-14 510.13     8.15 
