
=== 涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)              板块                  昨天收盘          今天收盘     涨跌幅(%)
   ABBV                           AbbVie Inc  3320.28          Biotechnology  2025-01-30 175.65   2025-01-31 183.9     4.70 
   KEYS            Keysight Technologies Inc   310.54   Electrical Equipment  2025-01-30 170.52  2025-01-31 178.35     4.59 
     CI                          Cigna Group   826.81            Health Care  2025-01-30 282.98  2025-01-31 294.21     3.97 
   SIRI               Sirius XM Holdings Inc    81.44                  Media   2025-01-30 23.11   2025-01-31 24.01     3.89 
     EA                  Electronic Arts Inc   324.90                  Media  2025-01-30 118.68  2025-01-31 122.91     3.56 
    BKR                      Baker Hughes Co   465.57                 Energy    2025-01-30 44.6   2025-01-31 46.18     3.54 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码               公司名称              市值(亿)           板块              昨天收盘           今天收盘      涨跌幅(%)
   TEAM                       Atlassian Corp    812.69            Technology  2025-01-30 266.95  2025-01-31 306.78    14.92 
    BEN               Franklin Resources Inc    115.56    Financial Services   2025-01-30 20.15   2025-01-31 22.24    10.37 
   CRDO   Credo Technology Group Holding Ltd    119.31        Semiconductors    2025-01-30 64.6   2025-01-31 70.02     8.39 
    RBC                     RBC Bearings Inc    111.57             Machinery  2025-01-30 322.02  2025-01-31 348.75     8.30 
    EMN                  Eastman Chemical Co    117.16             Chemicals   2025-01-30 92.67   2025-01-31 99.65     7.53 
   MNDY                       Monday.Com Ltd    126.88            Technology  2025-01-30 241.86  2025-01-31 255.46     5.62 
  LBRDB               Liberty Broadband Corp    111.51                 Media    2025-01-30 73.0    2025-01-31 77.0     5.48 
   VRTX           Vertex Pharmaceuticals Inc   1208.43         Biotechnology   2025-01-30 438.4  2025-01-31 461.68     5.31 
   GTLB                           GitLab Inc    119.71            Technology   2025-01-30 69.38   2025-01-31 72.76     4.87 
   ALAB                      Astera Labs Inc    165.91        Semiconductors   2025-01-30 96.87  2025-01-31 101.42     4.70 
   ABBV                           AbbVie Inc   3320.28         Biotechnology  2025-01-30 175.65   2025-01-31 183.9     4.70 
   KEYS            Keysight Technologies Inc    310.54  Electrical Equipment  2025-01-30 170.52  2025-01-31 178.35     4.59 
     CI                          Cigna Group    826.81           Health Care  2025-01-30 282.98  2025-01-31 294.21     3.97 
     EA                  Electronic Arts Inc    324.90                 Media  2025-01-30 118.68  2025-01-31 122.91     3.56 
    BKR                      Baker Hughes Co    465.57                Energy    2025-01-30 44.6   2025-01-31 46.18     3.54 
   CIEN                           Ciena Corp    123.77        Communications   2025-01-30 84.65   2025-01-31 87.14     2.94 
  LBRDA               Liberty Broadband Corp    111.51                 Media   2025-01-30 73.96   2025-01-31 76.03     2.80 
  LBRDK               Liberty Broadband Corp    111.51                 Media   2025-01-30 74.61   2025-01-31 76.66     2.75 
   CHTR           Charter Communications Inc    997.42                 Media  2025-01-30 336.62  2025-01-31 345.49     2.64 
   AVGO                         Broadcom Inc  10574.32        Semiconductors  2025-01-30 215.66  2025-01-31 221.27     2.60 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)           板块              昨天收盘           今天收盘      涨跌幅(%)
   TEAM               Atlassian Corp    812.69            Technology  2025-01-30 266.95  2025-01-31 306.78    14.92 
   VRTX   Vertex Pharmaceuticals Inc   1208.43         Biotechnology   2025-01-30 438.4  2025-01-31 461.68     5.31 
   ABBV                   AbbVie Inc   3320.28         Biotechnology  2025-01-30 175.65   2025-01-31 183.9     4.70 
   KEYS    Keysight Technologies Inc    310.54  Electrical Equipment  2025-01-30 170.52  2025-01-31 178.35     4.59 
     CI                  Cigna Group    826.81           Health Care  2025-01-30 282.98  2025-01-31 294.21     3.97 
     EA          Electronic Arts Inc    324.90                 Media  2025-01-30 118.68  2025-01-31 122.91     3.56 
    BKR              Baker Hughes Co    465.57                Energy    2025-01-30 44.6   2025-01-31 46.18     3.54 
   CHTR   Charter Communications Inc    997.42                 Media  2025-01-30 336.62  2025-01-31 345.49     2.64 
   AVGO                 Broadcom Inc  10574.32        Semiconductors  2025-01-30 215.66  2025-01-31 221.27     2.60 
   MRVL       Marvell Technology Inc    988.26        Semiconductors  2025-01-30 110.33  2025-01-31 112.86     2.29 
    VRT           Vertiv Holdings Co    445.15  Electrical Equipment   2025-01-30 114.6  2025-01-31 117.02     2.11 
    XYL                    Xylem Inc    301.30             Machinery  2025-01-30 121.79  2025-01-31 124.04     1.85 
  ADYYF                     Adyen NV    492.11    Financial Services  2025-01-30 1599.0  2025-01-31 1625.0     1.63 
  GOOGL                 Alphabet Inc  25146.75                 Media  2025-01-30 200.87  2025-01-31 204.02     1.57 
   PLTR    Palantir Technologies Inc   1928.80            Technology   2025-01-30 81.22   2025-01-31 82.49     1.56 
   TOST                    Toast Inc    236.00    Financial Services   2025-01-30 40.31   2025-01-31 40.92     1.51 
   GOOG                 Alphabet Inc  25146.75                 Media  2025-01-30 202.63   2025-01-31 205.6     1.47 
   CVNA                   Carvana Co    518.33                Retail  2025-01-30 243.94  2025-01-31 247.48     1.45 
   LPLA   LPL Financial Holdings Inc    276.79    Financial Services   2025-01-30 361.8  2025-01-31 366.89     1.41 
     MO             Altria Group Inc    888.42               Tobacco   2025-01-30 51.54   2025-01-31 52.23     1.34 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)          板块               昨天收盘           今天收盘      涨跌幅(%)
   VRTX   Vertex Pharmaceuticals Inc   1208.43        Biotechnology    2025-01-30 438.4  2025-01-31 461.68    5.31  
