
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
   DBGI                Digital Brands Group Inc    0.01                           Retail   2025-02-13 1.32   2025-02-14 3.27   147.73 
   JTAI                              Jet.AI Inc    0.05                         Airlines   2025-02-13 2.58   2025-02-14 6.03   133.72 
    SRM                   SRM Entertainment Inc    0.06                 Leisure Products   2025-02-13 0.36    2025-02-14 0.7    95.53 
   INLF                               INLIF Ltd    1.31                        Machinery   2025-02-13 9.01  2025-02-14 16.33    81.24 
   MBRX                   Moleculin Biotech Inc    0.02                    Biotechnology   2025-02-13 1.27   2025-02-14 2.18    71.65 
   LUXH                     LuxUrban Hotels Inc    0.00                      Real Estate   2025-02-13 0.05   2025-02-14 0.08    53.27 
  EGIOQ                               Edgio Inc    0.00                       Technology    2025-02-13 0.0    2025-02-14 0.0    50.00 
   SPGC                  Sacks Parente Golf Inc    0.05                 Leisure Products    2025-02-13 0.6   2025-02-14 0.89    49.24 
   ALLO               Allogene Therapeutics Inc    2.96                    Biotechnology   2025-02-13 1.41   2025-02-14 2.04    44.68 
  LILMF                               Lilium NV    0.95              Aerospace & Defense   2025-02-13 0.15   2025-02-14 0.21    37.93 
   FTEL                             Fitell Corp    0.18                           Retail   2025-02-13 0.89   2025-02-14 1.21    35.80 
   FORA                              Forian Inc    0.86                      Health Care   2025-02-13 2.76   2025-02-14 3.59    30.07 
   CNSP                 CNS Pharmaceuticals Inc    0.06                  Pharmaceuticals   2025-02-13 0.11   2025-02-14 0.14    29.63 
   UDMY                               Udemy Inc   11.41    Diversified Consumer Services   2025-02-13 7.82  2025-02-14 10.01    28.01 
   TNYA                 Tenaya Therapeutics Inc    0.75                    Biotechnology   2025-02-13 0.95    2025-02-14 1.2    26.72 
    TCX                              Tucows Inc    1.67                       Technology  2025-02-13 15.13  2025-02-14 19.15    26.57 
  NCNCF                           noco-noco Inc    0.01             Electrical Equipment    2025-02-13 0.0    2025-02-14 0.0    25.00 
   PACB   Pacific Biosciences of California Inc    4.05   Life Sciences Tools & Services   2025-02-13 1.48   2025-02-14 1.85    25.00 
   RXRX           Recursion Pharmaceuticals Inc   33.21                    Biotechnology    2025-02-13 8.5  2025-02-14 10.53    23.88 
   GDHG        Golden Heaven Group Holdings Ltd    0.05    Hotels, Restaurants & Leisure   2025-02-13 1.15   2025-02-14 1.42    23.48 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)              板块                    昨天收盘           今天收盘      涨跌幅(%)
   RXRX          Recursion Pharmaceuticals Inc   33.21                   Biotechnology      2025-02-13 8.5   2025-02-14 10.53    23.88 
     GT              Goodyear Tire & Rubber Co   23.28                 Auto Components     2025-02-13 8.17    2025-02-14 9.58    17.26 
   PCOR               Procore Technologies Inc  111.65                      Technology     2025-02-13 75.1    2025-02-14 87.5    16.51 
   DKNG                         Draftkings Inc  226.50   Hotels, Restaurants & Leisure    2025-02-13 46.45   2025-02-14 53.49    15.16 
   ABNB                             Airbnb Inc  894.15   Hotels, Restaurants & Leisure   2025-02-13 141.04  2025-02-14 161.42    14.45 
   CRSP                 CRISPR Therapeutics AG   37.30                   Biotechnology    2025-02-13 43.49   2025-02-14 49.72    14.33 
   ROKU                               Roku Inc  126.03                           Media     2025-02-13 86.8   2025-02-14 99.07    14.14 
   SMCI               Super Micro Computer Inc  247.58                      Technology    2025-02-13 42.28   2025-02-14 47.91    13.32 
   BEAM                  Beam Therapeutics Inc   23.69                   Biotechnology    2025-02-13 28.61    2025-02-14 32.4    13.25 
    SEB                          Seaboard Corp   25.39                   Food Products  2025-02-13 2614.97  2025-02-14 2927.0    11.93 
    DUO               Fangdd Network Group Ltd  201.10                           Media      2025-02-13 0.6    2025-02-14 0.66    11.75 
   CYTK                       Cytokinetics Inc   49.12                   Biotechnology    2025-02-13 41.62   2025-02-14 46.16    10.91 
   BBIO                   BridgeBio Pharma Inc   59.65                   Biotechnology    2025-02-13 31.56    2025-02-14 34.9    10.58 
    KAI                             Kadant Inc   41.60                       Machinery   2025-02-13 354.19  2025-02-14 388.46     9.68 
   IBRX                        Immunitybio Inc   24.24                   Biotechnology     2025-02-13 3.32    2025-02-14 3.62     9.04 
   ACHR                    Archer Aviation Inc   43.87             Aerospace & Defense     2025-02-13 9.52   2025-02-14 10.35     8.72 
