
=== 涨幅榜前20名股票 ===

     股票代码                       公司名称  市值(亿)                            板块                           昨天收盘                           今天收盘  涨跌幅(%)
1982     NBIS                                     Nebius Group NV     98.16                          Media   2025-01-23 38.63999938964844  2025-01-24 41.689998626708984       7.89
340      OKLO                                            Oklo Inc     51.06                      Utilities  2025-01-23 38.779998779296875   2025-01-24 41.81999969482422       7.84
3164       BE                                   Bloom Energy Corp     68.14           Electrical Equipment  2025-01-23 27.670000076293945  2025-01-24 29.809999465942383       7.73
2158    BABAF                           Alibaba Group Holding Ltd   2024.65                         Retail  2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95
3231    CNSRF                        CoinShares International Ltd     60.64             Financial Services   2025-01-23 7.420000076293945   2025-01-24 7.920000076293945       6.74
2019    MGDDF  Compagnie Generale des Etablissements Michelin SCA    235.86                Auto Components   2025-01-23 34.84000015258789  2025-01-24 37.150001525878906       6.63
4193    HTROF                                 Hexatronic Group AB     71.88           Electrical Equipment  2025-01-23 3.1500000953674316  2025-01-24 3.3550000190734863       6.51
666     THQQD                                   Embracer Group AB    530.79                          Media  2025-01-23 17.200000762939453               2025-01-24 18.25       6.10
2786     CYTK                                    Cytokinetics Inc     59.89                  Biotechnology   2025-01-23 47.86000061035156               2025-01-24 50.75       6.04
1070    ACRFF                                            Accor SA    118.37  Hotels, Restaurants & Leisure  2025-01-23 47.970001220703125   2025-01-24 50.79999923706055       5.90
3904      NEE                                  Nextera Energy Inc   1497.68                      Utilities    2025-01-23 69.2300033569336   2025-01-24 72.83000183105469       5.20
3002      SSB                                     SouthState Corp    104.91                        Banking   2025-01-23 98.58999633789062  2025-01-24 103.66999816894531       5.15
4142     IBKR                       Interactive Brokers Group Inc    925.28             Financial Services   2025-01-23 208.5500030517578  2025-01-24 218.99000549316406       5.01
1623      RUM                                          Rumble Inc     75.53                          Media  2025-01-23 12.979999542236328  2025-01-24 13.609999656677246       4.85
649        XP                                              XP Inc     69.09             Financial Services  2025-01-23 12.199999809265137  2025-01-24 12.789999961853027       4.84

=== 市值超过100亿的涨幅榜前20名股票 ===

     股票代码                                            公司名称  市值(亿)                              板块                       昨天收盘                       今天收盘  涨跌幅(%)
1006    NDRBF                                  Nibe Industrier AB    889.09                          Building                 2025-01-23 3.5   2025-01-24 4.019999980926514      14.86
37      BAIDF                                           Baidu Inc    287.30                             Media  2025-01-23 10.281000137329102  2025-01-24 11.399999618530273      10.88
1436    BRCTF                                        BioArctic AB    176.12                     Biotechnology  2025-01-23 17.850000381469727  2025-01-24 19.600000381469727       9.80
2158    BABAF                           Alibaba Group Holding Ltd   2024.65                            Retail  2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95
2019    MGDDF  Compagnie Generale des Etablissements Michelin SCA    235.86                   Auto Components   2025-01-23 34.84000015258789  2025-01-24 37.150001525878906       6.63
666     THQQD                                   Embracer Group AB    530.79                             Media  2025-01-23 17.200000762939453               2025-01-24 18.25       6.10
1070    ACRFF                                            Accor SA    118.37     Hotels, Restaurants & Leisure  2025-01-23 47.970001220703125   2025-01-24 50.79999923706055       5.90
3904      NEE                                  Nextera Energy Inc   1497.68                         Utilities    2025-01-23 69.2300033569336   2025-01-24 72.83000183105469       5.20
3002      SSB                                     SouthState Corp    104.91                           Banking   2025-01-23 98.58999633789062  2025-01-24 103.66999816894531       5.15
4142     IBKR                       Interactive Brokers Group Inc    925.28                Financial Services   2025-01-23 208.5500030517578  2025-01-24 218.99000549316406       5.01
1852    NETTF                                         NetEase Inc    628.03                             Media   2025-01-23 18.11199951171875  2025-01-24 18.968000411987305       4.73
