
=== 涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
     XP                                               XP Inc    69.09                Financial Services    2025-01-23 12.2   2025-01-24 12.79     4.84 
  NETTF                                          NetEase Inc   628.03                             Media   2025-01-23 18.11   2025-01-24 18.97     4.73 
  PPRUF                                            Kering SA   303.03  Textiles, Apparel & Luxury Goods  2025-01-23 257.26  2025-01-24 267.75     4.08 
    VLY                              Valley National Bancorp    56.81                           Banking    2025-01-23 9.78   2025-01-24 10.17     3.99 
   FIVE                                       Five Below Inc    52.67                            Retail    2025-01-23 92.1   2025-01-24 95.75     3.96 
  PGPEF                                   Publicis Groupe SA   253.32                             Media  2025-01-23 101.05   2025-01-24 105.0     3.91 
   FFIN                       First Financial Bankshares Inc    54.01                           Banking   2025-01-23 36.54   2025-01-24 37.79     3.42 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码                       公司名称                      市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
  BAIDF                                            Baidu Inc   287.30                             Media   2025-01-23 10.28    2025-01-24 11.4    10.88 
  BABAF                            Alibaba Group Holding Ltd  2024.65                            Retail   2025-01-23 10.61   2025-01-24 11.35     6.95 
  MGDDF   Compagnie Generale des Etablissements Michelin SCA   235.86                   Auto Components   2025-01-23 34.84   2025-01-24 37.15     6.63 
    NEE                                   Nextera Energy Inc  1497.68                         Utilities   2025-01-23 69.23   2025-01-24 72.83     5.20 
    SSB                                      SouthState Corp   104.91                           Banking   2025-01-23 98.59  2025-01-24 103.67     5.15 
   IBKR                        Interactive Brokers Group Inc   925.28                Financial Services  2025-01-23 208.55  2025-01-24 218.99     5.01 
  NETTF                                          NetEase Inc   628.03                             Media   2025-01-23 18.11   2025-01-24 18.97     4.73 
  PPRUF                                            Kering SA   303.03  Textiles, Apparel & Luxury Goods  2025-01-23 257.26  2025-01-24 267.75     4.08 
  PGPEF                                   Publicis Groupe SA   253.32                             Media  2025-01-23 101.05   2025-01-24 105.0     3.91 
   LULU                              Lululemon Athletica Inc   507.64  Textiles, Apparel & Luxury Goods  2025-01-23 387.85  2025-01-24 400.03     3.14 
   YUMC                               Yum China Holdings Inc   174.58     Hotels, Restaurants & Leisure   2025-01-23 44.66   2025-01-24 45.97     2.93 
    VFC                                              VF Corp   102.51  Textiles, Apparel & Luxury Goods   2025-01-23 25.63   2025-01-24 26.33     2.73 
  LBRDB                               Liberty Broadband Corp   116.11                             Media    2025-01-23 78.0    2025-01-24 80.0     2.56 
   CPNG                                          Coupang Inc   405.82                            Retail    2025-01-23 22.0   2025-01-24 22.56     2.55 
  GLPEF                                 Galp Energia SGPS SA   126.29                            Energy   2025-01-23 16.97    2025-01-24 17.4     2.53 
     BN                                      Brookfield Corp   921.22                Financial Services   2025-01-23 59.57   2025-01-24 61.07     2.52 
   ERIE                                    Erie Indemnity Co   180.22                         Insurance  2025-01-23 377.62  2025-01-24 386.98     2.48 
