
=== 涨幅榜前20名股票 ===

股票代码                 公司名称                 市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
  LRCX                        Lam Research Corp   966.94                  Semiconductors   2025-01-29 75.15   2025-01-30 80.73     7.43 
  CHKP    Check Point Software Technologies Ltd   224.25                      Technology   2025-01-29 203.9  2025-01-30 218.99     7.40 
   SMR                       Nuscale Power Corp    60.24            Electrical Equipment    2025-01-29 22.0   2025-01-30 23.58     7.18 
  ALAB                          Astera Labs Inc   143.43                  Semiconductors   2025-01-29 90.43   2025-01-30 96.87     7.12 
    NU                          Nu Holdings Ltd   596.03                         Banking   2025-01-29 12.55   2025-01-30 13.44     7.09 
  ONTO                      Onto Innovation Inc    94.74                  Semiconductors  2025-01-29 191.81  2025-01-30 205.18     6.97 
  NBIS                          Nebius Group NV    70.00                           Media   2025-01-29 29.73    2025-01-30 31.8     6.96 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)               板块                   昨天收盘           今天收盘      涨跌幅(%)
    VST                             Vistra Corp   528.07                       Utilities  2025-01-29 155.21   2025-01-30 176.3    13.59 
    IBM    International Business Machines Corp  2114.02                      Technology  2025-01-29 228.63  2025-01-30 258.27    12.96 
    LVS                    Las Vegas Sands Corp   314.88   Hotels, Restaurants & Leisure   2025-01-29 43.43   2025-01-30 48.24    11.08 
    GEV                          Ge Vernova Inc   973.74            Electrical Equipment  2025-01-29 353.25  2025-01-30 382.94     8.40 
   LRCX                       Lam Research Corp   966.94                  Semiconductors   2025-01-29 75.15   2025-01-30 80.73     7.43 
   CHKP   Check Point Software Technologies Ltd   224.25                      Technology   2025-01-29 203.9  2025-01-30 218.99     7.40 
   ALAB                         Astera Labs Inc   143.43                  Semiconductors   2025-01-29 90.43   2025-01-30 96.87     7.12 
     NU                         Nu Holdings Ltd   596.03                         Banking   2025-01-29 12.55   2025-01-30 13.44     7.09 
    TMO            Thermo Fisher Scientific Inc  2173.48  Life Sciences Tools & Services  2025-01-29 568.23  2025-01-30 606.74     6.78 
    DUO                Fangdd Network Group Ltd   194.81                           Media    2025-01-29 0.58    2025-01-30 0.61     6.23 
     PH                    Parker-Hannifin Corp   857.03                       Machinery  2025-01-29 665.81  2025-01-30 703.89     5.72 
    CEG               Constellation Energy Corp   913.14                       Utilities  2025-01-29 291.89  2025-01-30 308.55     5.71 
    DGX                   Quest Diagnostics Inc   173.49                     Health Care  2025-01-29 155.44  2025-01-30 164.17     5.62 
   ANET                     Arista Networks Inc  1358.52                  Communications  2025-01-29 107.84  2025-01-30 113.86     5.58 
  BABAF               Alibaba Group Holding Ltd  2156.37                          Retail   2025-01-29 12.23    2025-01-30 12.9     5.52 
  DUAVF                    Dassault Aviation SA   165.97             Aerospace & Defense   2025-01-29 209.5   2025-01-30 221.0     5.49 
    DPZ                      Domino's Pizza Inc   147.73   Hotels, Restaurants & Leisure  2025-01-29 427.78   2025-01-30 450.8     5.38 
   AFRM                     Affirm Holdings Inc   185.14              Financial Services   2025-01-29 58.95    2025-01-30 62.1     5.34 
    MTZ                              MasTec Inc   110.59                    Construction  2025-01-29 139.57  2025-01-30 146.93     5.27 
   ORCL                             Oracle Corp  4531.63                      Technology  2025-01-29 162.02  2025-01-30 170.38     5.16 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)               板块                   昨天收盘           今天收盘      涨跌幅(%)
    VST                             Vistra Corp   528.07                       Utilities  2025-01-29 155.21   2025-01-30 176.3    13.59 
    IBM    International Business Machines Corp  2114.02                      Technology  2025-01-29 228.63  2025-01-30 258.27    12.96 
    LVS                    Las Vegas Sands Corp   314.88   Hotels, Restaurants & Leisure   2025-01-29 43.43   2025-01-30 48.24    11.08 
    GEV                          Ge Vernova Inc   973.74            Electrical Equipment  2025-01-29 353.25  2025-01-30 382.94     8.40 
   LRCX                       Lam Research Corp   966.94                  Semiconductors   2025-01-29 75.15   2025-01-30 80.73     7.43 
   CHKP   Check Point Software Technologies Ltd   224.25                      Technology   2025-01-29 203.9  2025-01-30 218.99     7.40 
     NU                         Nu Holdings Ltd   596.03                         Banking   2025-01-29 12.55   2025-01-30 13.44     7.09 
    TMO            Thermo Fisher Scientific Inc  2173.48  Life Sciences Tools & Services  2025-01-29 568.23  2025-01-30 606.74     6.78 
     PH                    Parker-Hannifin Corp   857.03                       Machinery  2025-01-29 665.81  2025-01-30 703.89     5.72 
    CEG               Constellation Energy Corp   913.14                       Utilities  2025-01-29 291.89  2025-01-30 308.55     5.71 
   ANET                     Arista Networks Inc  1358.52                  Communications  2025-01-29 107.84  2025-01-30 113.86     5.58 
  BABAF               Alibaba Group Holding Ltd  2156.37                          Retail   2025-01-29 12.23    2025-01-30 12.9     5.52 
   ORCL                             Oracle Corp  4531.63                      Technology  2025-01-29 162.02  2025-01-30 170.38     5.16 
    ROP                  Roper Technologies Inc   582.28                      Technology  2025-01-29 543.02   2025-01-30 570.6     5.08 
    PHM                          Pultegroup Inc   231.72               Consumer products  2025-01-29 112.99  2025-01-30 118.51     4.89 
   NTRA                              Natera Inc   222.09                   Biotechnology  2025-01-29 168.22  2025-01-30 176.27     4.79 
   AVGO                            Broadcom Inc  9672.36                  Semiconductors  2025-01-29 206.35  2025-01-30 215.66     4.51 
    NRG                          NRG Energy Inc   203.72                       Utilities  2025-01-29 100.57   2025-01-30 105.0     4.40 
   KLAC                                KLA Corp   953.67                  Semiconductors  2025-01-29 712.97  2025-01-30 742.43     4.13 
  ASMLF                         ASML Holding NV  2506.66                  Semiconductors  2025-01-29 710.75  2025-01-30 739.85     4.09 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)                 板块                    昨天收盘           今天收盘      涨跌幅(%)
    IBM   International Business Machines Corp   2114.02                        Technology  2025-01-29 228.63  2025-01-30 258.27    12.96 
    TMO           Thermo Fisher Scientific Inc   2173.48    Life Sciences Tools & Services  2025-01-29 568.23  2025-01-30 606.74     6.78 
   ANET                    Arista Networks Inc   1358.52                    Communications  2025-01-29 107.84  2025-01-30 113.86     5.58 
