
=== 涨幅榜前20名股票 ===

股票代码                    公司名称                    市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
   HIMS           Hims & Hers Health Inc    81.45                       Health Care   2025-01-31 37.28   2025-02-03 38.93     4.43 
     FN                         Fabrinet    78.41              Electrical Equipment  2025-01-31 216.21   2025-02-03 225.6     4.34 
    TLN                Talen Energy Corp   112.76                         Utilities  2025-01-31 221.73  2025-02-03 230.85     4.11 
    EAT        Brinker International Inc    80.81     Hotels, Restaurants & Leisure  2025-01-31 181.97  2025-02-03 189.14     3.94 
   MSTR                Microstrategy Inc   841.24                        Technology  2025-01-31 334.79  2025-02-03 347.09     3.67 
   ABBV                       AbbVie Inc  3249.77                     Biotechnology   2025-01-31 183.9  2025-02-03 190.14     3.39 
     AU            Anglogold Ashanti PLC   150.70                   Metals & Mining   2025-01-31 30.21    2025-02-03 31.2     3.28 
   IBKR    Interactive Brokers Group Inc   918.73                Financial Services  2025-01-31 217.44  2025-02-03 223.48     2.78 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码             公司名称            市值(亿)                板块                     昨天收盘            今天收盘      涨跌幅(%)
  IDXX            IDEXX Laboratories Inc   345.59                       Health Care   2025-01-31 422.05   2025-02-03 469.04    11.13 
  MMYT                    MakeMyTrip Ltd   119.96     Hotels, Restaurants & Leisure   2025-01-31 109.27   2025-02-03 118.23     8.20 
  FTAI                 FTAI Aviation Ltd   103.09  Trading Companies & Distributors   2025-01-31 100.53    2025-02-03 108.2     7.63 
   TPX    Tempur Sealy International Inc   109.64                 Consumer products    2025-01-31 63.14    2025-02-03 66.92     5.99 
   RBC                  RBC Bearings Inc   109.54                         Machinery   2025-01-31 348.75   2025-02-03 367.29     5.32 
    VG                Venture Global Inc   494.80                            Energy    2025-01-31 20.45    2025-02-03 21.44     4.84 
   MOH             Molina Healthcare Inc   177.55                       Health Care   2025-01-31 310.41   2025-02-03 325.36     4.82 
   TLN                 Talen Energy Corp   112.76                         Utilities   2025-01-31 221.73   2025-02-03 230.85     4.11 
  MSTR                 Microstrategy Inc   841.24                        Technology   2025-01-31 334.79   2025-02-03 347.09     3.67 
  ABBV                        AbbVie Inc  3249.77                     Biotechnology    2025-01-31 183.9   2025-02-03 190.14     3.39 
    AU             Anglogold Ashanti PLC   150.70                   Metals & Mining    2025-01-31 30.21     2025-02-03 31.2     3.28 
  IBKR     Interactive Brokers Group Inc   918.73                Financial Services   2025-01-31 217.44   2025-02-03 223.48     2.78 
   TPL           Texas Pacific Land Corp   298.02                            Energy  2025-01-31 1297.17   2025-02-03 1332.8     2.75 
    KR                         Kroger Co   446.03                            Retail    2025-01-31 61.64    2025-02-03 63.33     2.74 
   PPC               Pilgrims Pride Corp   110.36                     Food Products    2025-01-31 46.54    2025-02-03 47.81     2.73 
