
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
      D                    Dominion Energy Inc   468.14                      Utilities   2025-01-24 53.48   2025-01-27 55.73    4.21  
   BFAM   Bright Horizons Family Solutions Inc    69.83  Diversified Consumer Services  2025-01-24 115.19  2025-01-27 120.02    4.19  
   BRBR                    Bellring Brands Inc   102.11              Consumer products    2025-01-24 76.0   2025-01-27 79.17    4.17  
    JNJ                      Johnson & Johnson  3681.50                Pharmaceuticals  2025-01-24 146.82  2025-01-27 152.89    4.13  
    LEN                            Lennar Corp   371.96              Consumer products  2025-01-24 132.36  2025-01-27 137.82    4.13  
     CI                            Cigna Group   850.53                    Health Care  2025-01-24 293.64  2025-01-27 305.72    4.11  
   BLDR               Builders FirstSource Inc   199.68                       Building  2025-01-24 166.76  2025-01-27 173.51    4.05  

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码               公司名称               市值(亿)         板块             昨天收盘           今天收盘      涨跌幅(%)
      T                              AT&T Inc  1732.11   Telecommunication   2025-01-24 22.72   2025-01-27 24.14    6.25  
    HCA                    HCA Healthcare Inc   840.95         Health Care  2025-01-24 313.07   2025-01-27 332.0    6.05  
    RKT                  Rocket Companies Inc   254.13  Financial Services   2025-01-24 12.02   2025-01-27 12.74    5.99  
  BAIDF                             Baidu Inc   293.69               Media    2025-01-24 11.4    2025-01-27 12.0    5.26  
     ED               Consolidated Edison Inc   328.75           Utilities    2025-01-24 90.6   2025-01-27 94.89    4.74  
    AEP   American Electric Power Company Inc   546.57           Utilities   2025-01-24 98.18  2025-01-27 102.63    4.53  
   ERIE                     Erie Indemnity Co   188.16           Insurance  2025-01-24 386.98  2025-01-27 404.04    4.41  
   HUBS                           HubSpot Inc   391.53          Technology  2025-01-24 726.61  2025-01-27 758.43    4.38  
    DUO              Fangdd Network Group Ltd   197.75               Media    2025-01-24 0.58    2025-01-27 0.61    4.27  
     FE                      FirstEnergy Corp   235.66           Utilities   2025-01-24 39.21   2025-01-27 40.88    4.26  
      D                   Dominion Energy Inc   468.14           Utilities   2025-01-24 53.48   2025-01-27 55.73    4.21  
   BRBR                   Bellring Brands Inc   102.11   Consumer products    2025-01-24 76.0   2025-01-27 79.17    4.17  
    JNJ                     Johnson & Johnson  3681.50     Pharmaceuticals  2025-01-24 146.82  2025-01-27 152.89    4.13  
    LEN                           Lennar Corp   371.96   Consumer products  2025-01-24 132.36  2025-01-27 137.82    4.13  
     CI                           Cigna Group   850.53         Health Care  2025-01-24 293.64  2025-01-27 305.72    4.11  
   BLDR              Builders FirstSource Inc   199.68            Building  2025-01-24 166.76  2025-01-27 173.51    4.05  
   ACGL                Arch Capital Group Ltd   363.15           Insurance   2025-01-24 92.76   2025-01-27 96.52    4.05  
    CRM                        Salesforce Inc  3321.75          Technology  2025-01-24 333.88   2025-01-27 347.1    3.96  
   ABBV                            AbbVie Inc  3126.07       Biotechnology   2025-01-24 170.3   2025-01-27 176.9    3.88  
    ALL                         Allstate Corp   511.57           Insurance  2025-01-24 186.07  2025-01-27 193.19    3.83  

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码               公司名称               市值(亿)         板块             昨天收盘           今天收盘      涨跌幅(%)
      T                              AT&T Inc  1732.11   Telecommunication   2025-01-24 22.72   2025-01-27 24.14    6.25  
    HCA                    HCA Healthcare Inc   840.95         Health Care  2025-01-24 313.07   2025-01-27 332.0    6.05  
    RKT                  Rocket Companies Inc   254.13  Financial Services   2025-01-24 12.02   2025-01-27 12.74    5.99  
  BAIDF                             Baidu Inc   293.69               Media    2025-01-24 11.4    2025-01-27 12.0    5.26  
     ED               Consolidated Edison Inc   328.75           Utilities    2025-01-24 90.6   2025-01-27 94.89    4.74  
    AEP   American Electric Power Company Inc   546.57           Utilities   2025-01-24 98.18  2025-01-27 102.63    4.53  
   HUBS                           HubSpot Inc   391.53          Technology  2025-01-24 726.61  2025-01-27 758.43    4.38  
     FE                      FirstEnergy Corp   235.66           Utilities   2025-01-24 39.21   2025-01-27 40.88    4.26  
