
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)              板块                   昨天收盘          今天收盘     涨跌幅(%)
   HIMS       Hims & Hers Health Inc    95.21                       Health Care   2025-02-11 43.58   2025-02-12 46.34     6.33 
   UTHR     United Therapeutics Corp   157.73                     Biotechnology  2025-02-11 353.31  2025-02-12 370.74     4.93 
   LSCC   Lattice Semiconductor Corp    80.91                    Semiconductors   2025-02-11 58.64   2025-02-12 61.52     4.91 
   HOOD        Robinhood Markets Inc   471.51                Financial Services   2025-02-11 53.34   2025-02-12 55.91     4.82 
   ALKS                 Alkermes Plc    51.71                     Biotechnology   2025-02-11 31.96    2025-02-12 33.5     4.82 
    TPR                 Tapestry Inc   168.43  Textiles, Apparel & Luxury Goods   2025-02-11 81.36   2025-02-12 85.13     4.63 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码          公司名称          市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
    CVS             CVS Health Corp   692.12                       Health Care    2025-02-11 55.0   2025-02-12 63.22    14.95 
  BAIDF                   Baidu Inc   319.42                             Media    2025-02-11 10.5    2025-02-12 11.9    13.33 
    DUO    Fangdd Network Group Ltd   192.75                             Media    2025-02-11 0.57    2025-02-12 0.62     8.96 
    GFS         GlobalFoundries Inc   222.76                    Semiconductors    2025-02-11 40.1   2025-02-12 43.55     8.60 
  HINKF                 Heineken NV   384.26                         Beverages   2025-02-11 71.74   2025-02-12 77.52     8.06 
   GILD         Gilead Sciences Inc  1198.16                     Biotechnology   2025-02-11 96.14  2025-02-12 103.31     7.46 
   INTC                  Intel Corp   908.00                    Semiconductors   2025-02-11 20.97   2025-02-12 22.48     7.20 
  PPRUF                   Kering SA   303.28  Textiles, Apparel & Luxury Goods   2025-02-11 260.0   2025-02-12 277.4     6.69 
   RBRK                  Rubrik Inc   135.04                        Technology    2025-02-11 72.9   2025-02-12 77.55     6.38 
   UTHR    United Therapeutics Corp   157.73                     Biotechnology  2025-02-11 353.31  2025-02-12 370.74     4.93 
   HOOD       Robinhood Markets Inc   471.51                Financial Services   2025-02-11 53.34   2025-02-12 55.91     4.82 
    TPR                Tapestry Inc   168.43  Textiles, Apparel & Luxury Goods   2025-02-11 81.36   2025-02-12 85.13     4.63 
   DKNG              Draftkings Inc   211.83     Hotels, Restaurants & Leisure   2025-02-11 43.44   2025-02-12 45.44     4.60 
   GRAB           Grab Holdings Ltd   189.29                       Road & Rail    2025-02-11 4.78     2025-02-12 5.0     4.60 
   ABNB                  Airbnb Inc   852.82     Hotels, Restaurants & Leisure  2025-02-11 134.52  2025-02-12 140.52     4.46 
     ON       ON Semiconductor Corp   201.99                    Semiconductors   2025-02-11 47.93   2025-02-12 50.06     4.44 
   PLTR   Palantir Technologies Inc  2565.51                        Technology  2025-02-11 112.62  2025-02-12 117.39     4.24 
   NXPI       NXP Semiconductors NV   536.19                    Semiconductors  2025-02-11 210.97  2025-02-12 219.79     4.18 
   INCY                 Incyte Corp   128.36                     Biotechnology   2025-02-11 66.33   2025-02-12 69.05     4.10 
   DASH                DoorDash Inc   802.09     Hotels, Restaurants & Leisure  2025-02-11 193.09  2025-02-12 200.89     4.04 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码            公司名称            市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
    CVS                 CVS Health Corp   692.12                       Health Care    2025-02-11 55.0   2025-02-12 63.22    14.95 
