
=== 涨幅榜前20名股票 ===

股票代码            公司名称           市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
    XPO                               XPO Inc   158.67                       Road & Rail   2025-02-05 136.31   2025-02-06 146.91     7.78 
   SMCI              Super Micro Computer Inc   184.39                        Technology    2025-02-05 31.49    2025-02-06 33.84     7.46 
    DAR               Darling Ingredients Inc    57.34                     Food Products    2025-02-05 36.05     2025-02-06 38.5     6.80 
    DJT   Trump Media & Technology Group Corp    65.84                             Media    2025-02-05 30.35    2025-02-06 32.38     6.69 
    LNC                 Lincoln National Corp    57.52                         Insurance    2025-02-05 33.77    2025-02-06 35.77     5.92 
    FIX               Comfort Systems USA Inc   158.49                      Construction   2025-02-05 445.29   2025-02-06 469.75     5.49 
   ENTG                          Entegris Inc   156.89                    Semiconductors    2025-02-05 103.9   2025-02-06 109.53     5.42 
    MTZ                            MasTec Inc   109.17                      Construction   2025-02-05 137.78   2025-02-06 145.05     5.28 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码               公司名称               市值(亿)                板块                     昨天收盘            今天收盘      涨跌幅(%)
    TPR                          Tapestry Inc   171.00  Textiles, Apparel & Luxury Goods    2025-02-05 73.38     2025-02-06 82.2    12.02 
  AMSYF                      ArcelorMittal SA   200.15                   Metals & Mining    2025-02-05 25.39     2025-02-06 28.4    11.86 
   COHR                         Coherent Corp   139.35              Electrical Equipment     2025-02-05 90.1   2025-02-06 100.46    11.50 
     PM       Philip Morris International Inc  2036.52                           Tobacco   2025-02-05 130.98   2025-02-06 145.32    10.95 
    MKL                      Markel Group Inc   239.26                         Insurance  2025-02-05 1860.14  2025-02-06 2059.83    10.74 
   PLTR             Palantir Technologies Inc  2309.00                        Technology   2025-02-05 101.36   2025-02-06 111.28     9.79 
    YUM                       Yum! Brands Inc   366.28     Hotels, Restaurants & Leisure   2025-02-05 131.25   2025-02-06 144.01     9.72 
     RL                     Ralph Lauren Corp   154.67  Textiles, Apparel & Luxury Goods    2025-02-05 249.0   2025-02-06 273.14     9.69 
   YUMC                Yum China Holdings Inc   172.87     Hotels, Restaurants & Leisure    2025-02-05 45.52    2025-02-06 49.65     9.07 
   UBER                 Uber Technologies Inc  1357.76                       Road & Rail    2025-02-05 64.48    2025-02-06 69.99     8.55 
    XPO                               XPO Inc   158.67                       Road & Rail   2025-02-05 136.31   2025-02-06 146.91     7.78 
   SMCI              Super Micro Computer Inc   184.39                        Technology    2025-02-05 31.49    2025-02-06 33.84     7.46 
    FIX               Comfort Systems USA Inc   158.49                      Construction   2025-02-05 445.29   2025-02-06 469.75     5.49 
   ENTG                          Entegris Inc   156.89                    Semiconductors    2025-02-05 103.9   2025-02-06 109.53     5.42 
    MTZ                            MasTec Inc   109.17                      Construction   2025-02-05 137.78   2025-02-06 145.05     5.28 
      H                     Hyatt Hotels Corp   152.28     Hotels, Restaurants & Leisure   2025-02-05 158.56   2025-02-06 166.34     4.91 
    HLT         Hilton Worldwide Holdings Inc   628.59     Hotels, Restaurants & Leisure   2025-02-05 257.85   2025-02-06 270.39     4.86 
    HSY                            Hershey Co   295.28                     Food Products   2025-02-05 145.92   2025-02-06 152.34     4.40 
    ICE         Intercontinental Exchange Inc   922.70                Financial Services    2025-02-05 160.7   2025-02-06 167.68     4.34 
   CTSH   Cognizant Technology Solutions Corp   414.51                        Technology     2025-02-05 83.6    2025-02-06 87.09     4.17 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码                  公司名称                 市值(亿)                 板块                     昨天收盘            今天收盘      涨跌幅(%)
  AMSYF                           ArcelorMittal SA    200.15                   Metals & Mining    2025-02-05 25.39     2025-02-06 28.4    11.86 
     PM            Philip Morris International Inc   2036.52                           Tobacco   2025-02-05 130.98   2025-02-06 145.32    10.95 
    MKL                           Markel Group Inc    239.26                         Insurance  2025-02-05 1860.14  2025-02-06 2059.83    10.74 
   PLTR                  Palantir Technologies Inc   2309.00                        Technology   2025-02-05 101.36   2025-02-06 111.28     9.79 
    YUM                            Yum! Brands Inc    366.28     Hotels, Restaurants & Leisure   2025-02-05 131.25   2025-02-06 144.01     9.72 
   UBER                      Uber Technologies Inc   1357.76                       Road & Rail    2025-02-05 64.48    2025-02-06 69.99     8.55 
    HLT              Hilton Worldwide Holdings Inc    628.59     Hotels, Restaurants & Leisure   2025-02-05 257.85   2025-02-06 270.39     4.86 
    HSY                                 Hershey Co    295.28                     Food Products   2025-02-05 145.92   2025-02-06 152.34     4.40 
    ICE              Intercontinental Exchange Inc    922.70                Financial Services    2025-02-05 160.7   2025-02-06 167.68     4.34 
   CTSH        Cognizant Technology Solutions Corp    414.51                        Technology     2025-02-05 83.6    2025-02-06 87.09     4.17 
    CRH                                    CRH PLC    687.22                      Construction   2025-02-05 101.16   2025-02-06 105.19     3.98 
    RKT                       Rocket Companies Inc    253.33                Financial Services     2025-02-05 12.7    2025-02-06 13.18     3.78 
  PPRUF                                  Kering SA    299.54  Textiles, Apparel & Luxury Goods    2025-02-05 250.8    2025-02-06 260.0     3.67 
      C                              Citigroup Inc   1491.54                           Banking    2025-02-05 79.46    2025-02-06 82.33     3.61 
    MAR                 Marriott International Inc    812.53     Hotels, Restaurants & Leisure   2025-02-05 292.39   2025-02-06 302.95     3.61 
